pPts	lyr1zones	lyr2zones	lyr3zones	lyr4zones
 pp1	0	0	5	5
 pp2	0	2	5	5
 pp3	0	3	5	5
 pp4	0	0	5	5
 pp5	0	2	5	5
 pp6	0	0	5	5
 pp7	0	3	5	5
 pp8	0	3	5	5
 pp9	0	0	5	5
pp10	0	0	5	5
pp11	0	0	5	5
pp12	0	0	5	5
pp13	0	0	5	5
pp14	0	0	5	5
pp15	0	0	5	5
pp16	0	0	5	5
pp17	0	0	5	5
pp18	0	2	5	5
pp19	0	0	5	5
pp20	0	2	5	5
pp21	0	3	5	5
pp22	0	0	5	5
pp23	0	2	5	5
pp24	0	3	5	5
pp25	0	3	5	5
pp26	0	2	5	5
pp27	0	0	5	5
pp28	0	0	5	5
pp29	0	3	5	5
pp30	0	0	5	5
pp31	0	0	5	5
pp32	0	0	5	5
pp33	0	0	5	5
pp34	0	3	4	5
pp35	0	0	5	5
pp36	0	3	4	5
pp37	0	0	5	5
pp38	0	2	5	5
pp39	0	0	5	5
pp40	0	0	5	5
pp41	0	3	4	5
pp42	1	3	4	5
pp43	0	0	5	5
pp44	0	3	4	5
pp45	0	0	5	5
pp46	1	3	4	5
pp47	0	0	5	5
pp48	0	0	5	5
pp49	0	0	5	5
pp50	0	3	4	5
pp51	0	0	5	5
pp52	0	2	5	5
pp53	1	3	4	5
pp54	0	3	4	5
pp55	1	3	4	5
pp56	1	3	4	5
pp57	0	0	5	5
pp58	0	0	5	5
pp59	1	3	4	5
pp60	0	3	4	5
pp61	0	0	5	5
pp62	1	3	4	5
pp63	0	0	5	5
pp64	1	3	4	5
pp65	0	3	4	5
pp66	1	3	4	5
pp67	0	3	4	5
pp68	1	3	4	5
pp69	1	3	4	5
pp70	1	3	4	5
pp71	1	3	4	5
pp72	1	3	4	5
pp73	1	3	4	5
pp74	0	3	4	5
pp75	1	3	4	5
pp76	0	3	4	5
pp77	0	0	4	5
pp78	0	3	4	5
pp79	0	0	4	5
pp80	0	0	5	5
pp81	0	3	4	5
pp82	0	0	4	5
pp83	1	3	4	5
pp84	0	3	4	5
pp85	1	3	4	5
pp86	0	3	4	5
pp87	0	3	4	5
pp88	1	3	4	5
pp89	0	3	4	5
pp90	0	3	4	5
pp91	1	3	4	5
pp92	1	3	4	5
pp93	0	0	4	5
pp94	0	0	5	5
pp95	0	0	4	5
pp96	0	3	4	5
pp97	0	0	5	5
pp98	0	0	4	5
pp99	0	3	5	5
pp100	0	3	5	5
