 6158697.2	2039129.3   0   0.1
 6159900.9	2038560.6   2   0.1
 6160215.2	2038264.6   3   0.1
 6160382.6	2037825.2   0   0.1
 6162414.5	2036083.7   2   0.1
 6163902.2	2034507.3   0   0.1
 6163905.4	2033002.9   3   0.1
 6164494.8	2031307.1   3   0.1
 6165281.2	2029960.3   0   0.1
 6165851.3	2029296.5   0   0.1
 6166130.3	2026561.3   0   0.1
 6166490.9	2025503.1   0   0.1
 6167303.4	2024093.3   0   0.1
 6157779.2	2039075.9   0   0.1
 6156675.1	2037623.1   0   0.1
 6159522.5	2038000.9   0   0.1
 6159734.1	2039640.9   0   0.1
 6163010.0	2040943.8   2   0.1
 6161162.0	2036924.4   0   0.1
 6160761.5	2038300.0   2   0.1
 6162694.4	2036732.8   3   0.1
 6163056.9	2038210.1   0   0.1
 6165498.0	2037446.8   2   0.1
 6164389.2	2035638.9   3   0.1
 6163613.5	2035192.4   3   0.1
 6164769.3	2034937.4   2   0.1
 6168852.6	2040074.8   0   0.1
 6164798.8	2038631.2   0   0.1
 6166576.6	2036738.0   3   0.1
 6166988.0	2033154.8   0   0.1
 6167892.4	2035293.4   0   0.1
 6166982.2	2031289.1   0   0.1
 6169151.1	2032435.3   0   0.1
 6161551.9	2035655.7   3   0.1
 6163049.8	2034763.0   0   0.1
 6162937.5	2033601.9   3   0.1
 6163226.1	2032276.6   0   0.1
 6157641.3	2026712.0   2   0.1
 6161922.5	2027532.1   0   0.1
 6165254.0	2028696.9   0   0.1
 6160783.3	2030656.3   3   0.1
 6166805.8	2028961.4   3   0.1
 6169539.1	2030248.7   0   0.1
 6167634.6	2026915.9   3   0.1
 6165024.8	2026616.1   0   0.1
 6164866.0	2024935.9   3   0.1
 6168196.3	2023515.4   0   0.1
 6173038.7	2026528.0   0   0.1
 6169506.4	2021232.1   0   0.1
 6164234.9	2019734.3   3   0.1
 6166324.8	2023103.6   0   0.1
 6169019.8	2019323.1   2   0.1
 6171415.3	2018200.2   3   0.1
 6170142.7	2015954.4   3   0.1
 6165826.9	2013542.7   3   0.1
 6172876.9	2013124.4   3   0.1
 6180328.7	2002016.9   0   0.1
 6174267.7	2000586.8   0   0.1
 6179256.5	2007675.4   3   0.1
 6184210.5	1996024.0   3   0.1
 6173503.4	1995500.2   0   0.1
 6178013.3	1986285.6   3   0.1
 6192382.6	1996092.1   0   0.1
 6191020.6	1989622.5   3   0.1
 6185844.9	2001472.1   3   0.1
 6186321.6	2006715.9   3   0.1
 6192900.3	2005900.3   3   0.1
 6189689.2	2007279.3   3   0.1
 6178285.7	2010529.6   3   0.1
 6168955.8	2007192.6   3   0.1
 6170204.9	2011992.6   3   0.1
 6176583.1	2016931.1   3   0.1
 6185232.0	2022106.8   3   0.1
 6176100.7	2031453.1   3   0.1
 6178479.9	2026237.0   3   0.1
 6173080.9	2037309.7   3   0.1
 6182493.7	2042885.5   0   0.1
 6167590.3	2049205.9   3   0.1
 6194311.0	2021478.5   0   0.1
 6199252.5	2027518.2   0   0.1
 6212246.9	2021844.6   3   0.1
 6205292.2	2010588.9   0   0.1
 6206481.8	2005189.9   3   0.1
 6216181.8	1998784.2   3   0.1
 6204377.1	1994391.8   3   0.1
 6219688.7	1988155.5   3   0.1
 6230289.1	1980695.1   3   0.1
 6228718.5	1949186.2   3   0.1
 6215541.2	1969958.8   3   0.1
 6204794.8	1984695.9   3   0.1
 6244458.2	1926857.9   3   0.1
 6236487.1	1940328.5   3   0.1
 6258930.3	1941450.6   0   0.1
 6239106.4	1959293.6   0   0.1
 6155533.9	2045121.9   0   0.1
 6150671.7	2037564.1   3   0.1
 6144941.0	2049449.2   0   0.1
 6142915.4	2065288.0   0   0.1
 6138677.2	2040253.9   3   0.1
 6160027.2	2033926.3   3   0.1
