site,units,median_above,median_above_julyAug,median_below,median_below_julyAug,,,,
runoff_IndianCk,cfd,NA,NA,NA,NA,,,,
runoff_SanAntonioCkAtIndianCkRd,cfd,NA,NA,NA,NA,,,,
runoff_ArroyoHondo,cfd,NA,NA,NA,NA,,,,
runoff_SanAntonioCk,cfd,NA,NA,NA,NA,,,,
runoff_CalaverasCk,cfd,NA,NA,NA,NA,,,,
runoff_AlamedaCkAboveACDD,cfd,NA,NA,NA,NA,,,,
runoff_AlamedaCkBelowACDD,cfd,NA,NA,NA,NA,,,,
runoff_AlamedaCkBelowCalaverasCk,cfd,163296,88992,54432,44928,TRUE,TRUE,TRUE,TRUE
runoff_AlamedaCkBelowWelchCk,cfd,214704,98496,62208,24192,TRUE,TRUE,TRUE,TRUE
runoff_AlamedaCkNearNiles,cfd,2626128,1785888,1484352,1391040,TRUE,TRUE,TRUE,TRUE
runoff_AlamedaCkAboveSanAntonioCk,cfd,164160,0,0,0,TRUE,FALSE,TRUE,FALSE
runoff_AlamedaCkAboveArroyoDeLaLaguna,cfd,864,133056,0,0,FALSE,FALSE,TRUE,TRUE
runoff_ArroyoDeLaLaguna,cfd,NA,NA,NA,NA,,,FALSE,
m01,ft,261.16,257.25,255.0163542,254.975,,,TRUE,
m02,ft,259.14,257.1,249.3845604,249.8716833,,,TRUE,
m03,ft,244.35,243.7419521,239.72,240.64,,,TRUE,
m04,ft,247.67,246.36,237.36,238.84,,,TRUE,
m05,ft,237.585,235.87,229.985,230.26,,,TRUE,
m06,ft,228.5653458,227.7555875,225.1,224.82,,,TRUE,
m07,ft,222.5219354,222.5592563,220.545,220.33,,,TRUE,
m08,ft,222.82,222.56,220.72,220.15,,,TRUE,
m09,ft,221.49,221.3084833,220.1742333,219.94,,,TRUE,
m10,ft,215.6365792,215.4438125,211.16,210.72,,,TRUE,
v3,ft,310.52,310.3344242,309.6,309.43535,,,TRUE,
v4,ft,305.1104417,304.8008979,301.09,300.01,,,TRUE,
v6,ft,296.45,294.7924979,292.43,292.605,,,TRUE,
