"hru_id","hru_row","hru_col","HRU_ID","subbasin","bas_lyr_01","bas_lyr_02","bas_lyr_03","bas_lyr_04","dis_top_lyr_01","dis_bttm_lyr_01","dis_bttm_lyr_02","dis_bttm_lyr_03","dis_bttm_lyr_04","strt_hd_lyr_01","strt_hd_lyr_02","strt_hd_lyr_03","strt_hd_lyr_04","hed_lyr_01","hed_lyr_02","hed_lyr_03","hed_lyr_04","lak_lyr_01","lak_lyr_02","lak_lyr_03","lak_lyr_04","lkbd_lknc_01","lkbd_lknc_02","lkbd_lknc_03","lkbd_lknc_04","uzfbnd","irunbnd","vks","surfk","adjusted_finf","adjusted_pet","extdp","kh_lay_01","kh_lay_02","kh_lay_03","kh_lay_04","sy_lay_01","sy_lay_02","sy_lay_03","sy_lay_04","krch","iseg","ireach","rchlen","strtop","slope","strthick","strhc1","thts","thti","eps","uhc","icalc","outseg","iupseg","flow","runoff","etsw","pptsw","roughch","width1","width2","stream_gauge","thick_lay_01","thick_lay_02","thick_lay_03","thick_lay_04"
113867,163,143,113867,12,0,1,1,1,237.478,237.478,236.378,-50,-100,237.478,237.478,236.378,-50,NA,224.8611603,224.848999,224.848999,0,0,0,0,1000,1000,1000,1000,1,147,39.99998,0.08995055,0.0079065,0.008896044,4,0,199.9999,0.005129572,1e-05,0.18,0.1,0.005,0.005,3,147,1,60,215,0.173,0.25,0,0.3,0.2,4,0.5,1,149,-10,0,0,0,0,0.04,24.69275,24.69275,NA,0,1.10000000000002,286.378,50
113866,163,142,113866,12,0,1,1,1,236.949,236.949,232.536,-50,-100,236.949,236.949,232.536,-50,NA,227.2012787,227.1892548,227.1892395,0,0,0,0,0,0,0,0,1,147,40.00001,0.08995055,0.007924,0.008896044,4,0,200.0001,0.005112731,1e-05,0.18,0.1,0.005,0.005,3,147,2,74,236,0.168,0.25,0,0.3,0.2,4,0.5,1,149,-10,0,0,0,0,0.04,24.69275,24.69275,NA,0,4.41300000000001,282.536,50
113163,162,141,113163,12,0,1,1,1,236.949,236.949,225.35,-50,-100,236.949,236.949,225.35,-50,NA,226.8759308,226.8737793,226.8737793,0,0,0,0,0,0,0,0,1,147,39.99998,0.08995055,0.007945,0.008896044,4,0,200,0.004868315,1e-05,0.18,0.1,0.005,0.005,2,147,3,86,233,0.0453,1,0,0.3,0.2,4,0.5,1,149,-10,0,0,0,0,0.04,24.69275,24.69275,NA,0,11.599,275.35,50
113864,163,140,113864,12,0,1,1,1,236.009,236.009,224.759,-50,-100,236.009,236.009,224.759,-50,NA,225.592041,225.5892944,225.5892944,0,0,0,0,0,0,0,0,1,147,40,0.08995055,0.00795725,0.008896044,4,0,200,0.005057916,1e-05,0.18,0.1,0.005,0.005,2,147,4,86,230,0.0141,1,0,0.3,0.2,4,0.5,1,149,-10,0,0,0,0,0.04,24.69275,24.69275,NA,0,11.25,274.759,50
114565,164,139,114565,12,1,1,1,1,229.781,216.781,205.415,-50,-100,229.781,216.781,205.415,-50,222.7412415,222.7476196,222.7669983,222.7669983,0,0,0,0,0,0,0,0,1,147,2.709999e-05,0.08995055,0.00796775,0.008896044,4,200,200,0.005252263,1e-05,0.18,0.1,0.005,0.005,1,147,5,86,226,0.0124,1,0,0.3,0.2,4,0.5,1,149,-10,0,0,0,0,0.04,24.69275,24.69275,NA,13,11.366,255.415,50
113862,163,138,113862,12,1,1,1,1,228.95,214.95,199.928,-50,-100,228.95,214.95,199.928,-50,222.9051056,222.9128265,222.9172058,222.9172211,0,0,0,0,0,0,0,0,1,147,2.709999e-05,0.08995055,0.0079905,0.008896044,4,200,200.0001,0.004976109,9.999989e-06,0.18,0.1,0.005,0.005,1,147,6,74,224,0.00567,1,0,0.3,0.2,4,0.5,1,149,-10,0,0,0,0,0.04,24.69275,24.69275,NA,14,15.022,249.928,50
113861,163,137,113861,12,1,1,1,1,228.95,214.95,198.499,-50,-100,228.95,214.95,198.499,-50,223.3657227,223.3786011,223.3831482,223.3831482,0,0,0,0,0,0,0,0,1,147,2.710002e-05,0.08995055,0.00800625,0.008896044,4,200,200.0001,0.004925711,1e-05,0.18,0.1,0.005,0.005,1,147,7,74,222,0.00332,1,0,0.3,0.2,4,0.5,1,149,-10,0,0,0,0,0.04,24.69275,24.69275,NA,14,16.451,248.499,50
126516,181,156,126516,12,1,1,1,1,255,229.628,224.718,-50,-100,255,229.628,224.718,-50,172.9252319,172.9248352,172.9214172,172.9215088,0,0,0,0,1000,1000,1000,1000,1,181,2.709999e-05,0.08995055,0.00763525,0.008896044,4,200.0001,199.9999,0.0106793,1.000001e-05,0.18,0.1,0.005,0.005,3,181,1,189,135,0.00105,1,0,0.3,0.2,4,0.5,1,175,-9,0,0,0,0,0.04,24.65949,24.65949,NA,25.372,4.91,274.718,50
127217,182,155,127217,12,1,1,1,1,241.628,229.628,224.622,-50,-100,241.628,229.628,224.622,-50,237.1040955,237.0940552,237.062027,237.0620117,0,0,0,0,0,0,0,0,1,181,2.710002e-05,0.08995055,0.00764575,0.008896044,4,199.9997,199.9997,0.01131479,1e-05,0.18,0.1,0.005,0.005,1,181,2,74,159,0.00137,1,0,0.3,0.2,4,0.5,1,175,-9,0,0,0,0,0.04,24.65949,24.65949,NA,12,5.00599999999997,274.622,50
134273,192,191,134273,4,0,0,0,0,440.439,426.439,421.386,-50,-100,440.439,426.439,421.386,-50,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2.709996e-05,0.08995055,0.002632535,0.009,4,200,200,0.007569795,9.999923e-06,0.18,0.1,0.005,0.005,1,191,1,86,457,0.00287,1,0,0.3,0.2,4,0.5,1,189,-11,0,0,0,0,0.04,97.5836,97.5836,NA,14,5.053,471.386,50
133570,191,190,133570,4,0,0,0,0,319.899,304.899,299.816,-50,-100,319.899,304.899,299.816,-50,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2.710002e-05,0.08995055,0.002629501,0.009,4,200,199.9999,0.007566363,9.999912e-06,0.18,0.1,0.005,0.005,1,191,2,74,439,0.0212,1,0,0.3,0.2,4,0.5,1,189,-11,0,0,0,0,0.04,97.5836,97.5836,NA,15,5.08300000000003,349.816,50
132868,190,190,132868,4,0,0,0,0,311.938,295.938,290.702,-50,-100,311.938,295.938,290.702,-50,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2.709999e-05,0.08995055,0.002627681,0.009,4,200,200.0001,0.007108306,9.999912e-06,0.18,0.1,0.005,0.005,1,191,3,61,429,0.0121,1,0,0.3,0.2,4,0.5,1,189,-11,0,0,0,0,0.04,97.5836,97.5836,NA,16,5.23599999999999,340.702,50
132166,189,190,132166,4,0,0,0,0,299.331,282.331,276.723,-50,-100,299.331,282.331,276.723,-50,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2.710002e-05,0.08995055,0.002625861,0.009,4,200,200,0.006687484,9.999923e-06,0.18,0.1,0.005,0.005,1,191,4,61,419,0.0308,1,0,0.3,0.2,4,0.5,1,189,-11,0,0,0,0,0.04,97.5836,97.5836,NA,17,5.608,326.723,50
132165,189,189,132165,4,0,0,0,0,299.331,282.331,276.491,-50,-100,299.331,282.331,276.491,-50,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2.709999e-05,0.08995055,0.002624647,0.009,4,200,200.0001,0.007091589,9.999923e-06,0.18,0.1,0.005,0.005,1,191,5,61,418,0.0282,1,0,0.3,0.2,4,0.5,1,189,-11,0,0,0,0,0.04,97.5836,97.5836,NA,17,5.84000000000003,326.491,50
132164,189,188,132164,4,0,0,0,0,297.661,280.661,274.662,-50,-100,297.661,280.661,274.662,-50,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2.709996e-05,0.08995055,0.002622827,0.009,4,200,199.9999,0.007509389,9.999934e-06,0.18,0.1,0.005,0.005,1,191,6,61,416,0.0322,1,0,0.3,0.2,4,0.5,1,189,-11,0,0,0,0,0.04,97.5836,97.5836,NA,17,5.99900000000002,324.662,50
