12   #numsub
          2.0000000E+00  #scale subbasin 1
          2.0000000E+00  #scale subbasin 2
          2.0000000E+00  #scale subbasin 3
          2.0000000E+00  #scale subbasin 4
          2.0000000E+00  #scale subbasin 5
          2.0000000E+00  #scale subbasin 6
          2.0000000E+00  #scale subbasin 7
          2.0000000E+00  #scale subbasin 8
          2.0000000E+00  #scale subbasin 9
          2.0000000E+00  #scale subbasin 10
          2.0000000E+00  #scale subbasin 11
          2.0000000E+00  #scale subbasin 12
