"","group","initial","min","max"
"1","finf",0.724718533333333,0.15,1.75
"2","lkbdlknc",1000,1e-07,1000
"3","pet",0.969174375,0.2,1.5
"4","ppts_l1",200,1.84,119279.23735
"5","ppts_l2",200,2.96,2922.52415
"6","ppts_l3",0.009524247,0.000651977168,0.06991277
"7","ppts_l4",1.0014e-05,1.42e-08,1e-04
"8","ssr2gw_scale",10,0.1,1000
"9","strmbdk",1.930000234375,0.71903125,409075.428125
"10","surfk",0.05205,5.5e-05,283465
"11","vks",18.874942832,0.001321426,284678.259963825
