pPts,HRU_ID,HRU_X,HRU_Y,HRU_ROW,HRU_COL,zones_lyr1,zones_lyr2,zones_lyr3,zones_lyr4,SUB_BASIN,SG7,LCA7,WBLG7_lyr3,WBLG7_lyr4,SG7zones,LCA7zones,WBLG7lyr3z,WBLG7lyr4z,demLkFl7,demSg7,lyr2elev7,lyr3elev7,lyr4elev7,lyr1dpth7,lyr2dpth7,lyr3dpth7,lyr4dpth7,lyr1zones,lyr2zones,lyr3zones,lyr4zones
98,22518,6142900,2065300,33,54,0,3,5,5,10,0,1,1,1,0,2,2,2,0,0,0,0,0,0,20,100,50,0,3,5,5
97,77986,6144900,2049500,112,64,0,3,5,5,10,0,1,1,1,0,2,2,2,0,0,0,0,0,0,20,100,50,0,3,5,5
78,78801,6167500,2049300,113,177,0,0,4,5,10,0,0,1,1,0,0,3,3,0,0,0,-50,-100,0,0,0,50,0,0,4,5
95,93483,6155500,2045100,134,117,0,0,5,5,10,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
77,101340,6182500,2042900,145,252,0,3,4,5,4,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,20,0,50,0,3,4,5
18,108263,6163100,2040900,155,155,0,0,4,5,12,0,0,1,1,0,0,3,3,0,0,0,-50,-100,0,0,0,50,0,0,4,5
99,110247,6138700,2040300,158,33,0,0,5,5,10,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,50,0,0,5,5
27,111100,6168900,2040100,159,184,0,0,4,5,10,0,0,1,1,0,0,3,3,0,0,0,-50,-100,0,0,0,50,0,0,4,5
17,112458,6159700,2039700,161,138,1,3,4,5,10,1,1,1,1,1,2,3,3,0,0,0,-50,-100,14,0,0,50,1,3,4,5
14,114554,6157700,2039100,164,128,0,3,4,5,10,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,1,0,50,0,3,4,5
1,114559,6158700,2039100,164,133,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,15,0,0,50,1,3,4,5
28,115993,6164700,2038700,166,163,0,3,4,5,12,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
2,116671,6159900,2038500,167,139,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,15,0,0,50,1,3,4,5
3,117375,6160300,2038300,168,141,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,19,0,0,50,1,3,4,5
20,117377,6160700,2038300,168,143,0,3,4,5,12,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
22,117389,6163100,2038300,168,155,0,3,4,5,12,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
16,118073,6159500,2038100,169,137,0,3,4,5,12,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
4,118779,6160300,2037900,170,141,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,15,0,0,50,1,3,4,5
15,119463,6156700,2037700,171,123,0,0,4,5,12,0,0,1,1,0,0,3,3,0,0,0,-50,-100,0,0,0,50,0,0,4,5
96,120135,6150700,2037500,172,93,0,0,5,5,12,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
23,120209,6165500,2037500,172,167,0,3,4,5,12,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
76,120949,6173100,2037300,173,205,0,0,4,5,4,0,0,1,1,0,0,3,3,0,0,0,-50,-100,0,0,0,50,0,0,4,5
19,122293,6161100,2036900,175,145,0,3,4,5,12,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
21,123003,6162700,2036700,176,153,0,3,4,5,12,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
29,123022,6166500,2036700,176,172,0,0,4,5,12,0,0,1,1,0,0,3,3,0,0,0,-50,-100,0,0,0,50,0,0,4,5
5,125108,6162500,2036100,179,152,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,12,0,0,50,1,3,4,5
34,126507,6161500,2035700,181,147,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,11,0,0,50,1,3,4,5
24,126521,6164300,2035700,181,161,0,3,4,5,12,0,1,1,1,0,2,3,3,255,255,0,-50,-100,0,0,0,50,0,3,4,5
31,127943,6167900,2035300,183,179,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,20,0,0,50,1,3,4,5
25,128624,6163700,2035100,184,158,1,3,4,5,12,1,1,1,1,1,2,3,3,255,0,0,-50,-100,0,0,0,50,1,3,4,5
26,129331,6164700,2034900,185,163,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,15,0,0,50,1,3,4,5
35,130025,6163100,2034700,186,155,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,0,0,0,50,1,3,4,5
6,130731,6163900,2034500,187,159,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,14,0,0,50,1,3,4,5
100,132818,6160100,2033900,190,140,0,3,4,5,12,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
36,133534,6162900,2033700,191,154,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,15,0,0,50,1,3,4,5
7,135645,6163900,2033100,194,159,1,3,4,5,12,1,1,1,1,1,2,3,3,0,0,0,-50,-100,0,0,0,50,1,3,4,5
30,135660,6166900,2033100,194,174,0,3,4,5,12,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
33,137777,6169100,2032500,197,185,0,0,5,5,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
37,138450,6163300,2032300,198,156,1,3,4,5,11,1,1,1,1,1,2,3,3,0,0,0,-50,-100,20,0,0,50,1,3,4,5
74,141322,6176100,2031500,202,220,0,0,5,5,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
8,141966,6164500,2031300,203,162,1,3,4,5,11,1,1,1,1,1,2,3,3,267,251,0,-50,-100,16,0,0,50,1,3,4,5
32,141978,6166900,2031300,203,174,0,3,4,5,11,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
41,144053,6160700,2030700,206,143,0,0,5,5,12,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,50,0,0,5,5
43,145501,6169500,2030300,208,187,0,0,5,5,11,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
9,146884,6165300,2029900,210,166,1,3,4,5,11,1,1,1,1,1,2,3,3,0,0,0,-50,-100,18,0,0,50,1,3,4,5
10,148993,6165900,2029300,213,169,1,3,4,5,11,1,1,1,1,1,2,3,3,0,0,0,-50,-100,25,0,0,50,1,3,4,5
42,150402,6166900,2028900,215,174,0,3,4,5,11,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
40,151096,6165300,2028700,216,166,1,3,4,5,11,1,1,1,1,1,2,3,3,0,0,0,-50,-100,0,0,0,50,1,3,4,5
39,155291,6161900,2027500,222,149,0,0,5,5,12,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
80,155478,6199300,2027500,222,336,0,2,5,5,2,0,1,1,1,0,1,2,2,0,0,0,0,0,0,15,100,50,0,2,5,5
44,157426,6167700,2026900,225,178,0,3,4,5,11,0,1,1,1,0,2,3,3,0,0,0,-50,-100,0,0,0,50,0,3,4,5
38,158078,6157700,2026700,226,128,0,0,5,5,12,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,100,50,0,0,5,5
45,158115,6165100,2026700,226,165,0,0,5,5,11,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
11,158822,6166100,2026500,227,170,1,3,4,5,11,1,1,1,1,1,2,3,3,0,0,0,-50,-100,19,0,0,50,1,3,4,5
48,158857,6173100,2026500,227,205,0,0,5,5,4,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,50,0,0,5,5
75,159586,6178500,2026300,228,232,0,0,5,5,4,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,100,50,0,0,5,5
