date,ymd,calaveras_reservoir,pond_f2,pond_f3e,pond_f3w,pond_f4,pond_f6,ready_mix_pond,san_antonio_reservoir
10/1/2010,20101001,703.2,-999,-999,-999,-999,-999,-999,464.9
10/2/2010,20101002,703,-999,-999,-999,-999,-999,-999,464.9
10/3/2010,20101003,702.8,-999,-999,-999,-999,-999,-999,464.9
10/4/2010,20101004,702.7,-999,-999,-999,-999,-999,-999,464.9
10/5/2010,20101005,702,-999,-999,-999,-999,-999,-999,464.9
10/6/2010,20101006,702,-999,-999,-999,-999,-999,-999,464.9
10/7/2010,20101007,701.9,-999,-999,-999,-999,-999,-999,464.8
10/8/2010,20101008,701.7,-999,-999,-999,-999,-999,-999,464.8
10/9/2010,20101009,701.5,-999,-999,-999,-999,-999,-999,464.8
10/10/2010,20101010,701.3,-999,-999,-999,-999,-999,-999,464.8
10/11/2010,20101011,701,-999,-999,-999,-999,-999,-999,464.8
10/12/2010,20101012,700.6,-999,-999,-999,-999,-999,-999,464.7
10/13/2010,20101013,700.3,-999,-999,-999,-999,-999,-999,464.7
10/14/2010,20101014,700.2,-999,-999,-999,-999,-999,-999,464.7
10/15/2010,20101015,700,-999,-999,-999,-999,-999,-999,464.7
10/16/2010,20101016,699.8,-999,-999,-999,-999,-999,-999,464.7
10/17/2010,20101017,699.4,-999,-999,-999,-999,-999,-999,464.7
10/18/2010,20101018,699.2,-999,-999,-999,-999,-999,-999,464.7
10/19/2010,20101019,698.9,-999,-999,-999,-999,-999,-999,464.7
10/20/2010,20101020,698.5,-999,-999,-999,-999,-999,-999,464.6
10/21/2010,20101021,698.3,-999,-999,-999,-999,-999,-999,464.6
10/22/2010,20101022,698.1,-999,-999,-999,-999,-999,-999,464.6
10/23/2010,20101023,697.9,-999,-999,-999,-999,-999,-999,464.6
10/24/2010,20101024,697.8,-999,-999,-999,-999,-999,-999,464.6
10/25/2010,20101025,697.8,-999,-999,-999,-999,-999,-999,464.6
10/26/2010,20101026,697.7,-999,-999,-999,-999,-999,-999,464.6
10/27/2010,20101027,697.6,-999,-999,-999,-999,-999,-999,464.6
10/28/2010,20101028,697.6,-999,-999,-999,-999,-999,-999,464.5
10/29/2010,20101029,697.6,-999,-999,-999,-999,-999,-999,464.4
10/30/2010,20101030,697.6,-999,-999,-999,-999,-999,-999,464.4
10/31/2010,20101031,697.6,-999,-999,-999,-999,-999,-999,464.2
11/1/2010,20101101,697.6,-999,-999,-999,-999,-999,-999,464.2
11/2/2010,20101102,697.4,-999,-999,-999,-999,-999,-999,464.1
11/3/2010,20101103,697.3,-999,-999,-999,-999,-999,-999,464
11/4/2010,20101104,697.6,-999,-999,-999,-999,-999,-999,463.9
11/5/2010,20101105,697.6,-999,-999,-999,-999,-999,-999,463.9
11/6/2010,20101106,697.6,-999,-999,-999,-999,-999,-999,464.1
11/7/2010,20101107,697.9,-999,-999,-999,-999,-999,-999,463.7
11/8/2010,20101108,697.7,-999,-999,-999,-999,-999,-999,463.7
11/9/2010,20101109,697.6,-999,-999,-999,-999,-999,-999,463.6
11/10/2010,20101110,697.7,-999,-999,-999,-999,-999,-999,463.6
11/11/2010,20101111,697.7,-999,-999,-999,-999,-999,-999,463.6
11/12/2010,20101112,697.7,-999,-999,-999,-999,-999,-999,463.5
11/13/2010,20101113,697.6,-999,-999,-999,-999,-999,-999,463.4
11/14/2010,20101114,697.6,-999,-999,-999,-999,-999,-999,463.3
11/15/2010,20101115,697.7,-999,-999,-999,-999,-999,-999,463.2
11/16/2010,20101116,697.7,-999,-999,-999,-999,-999,-999,463.1
11/17/2010,20101117,697.7,-999,-999,-999,-999,-999,-999,462.9
11/18/2010,20101118,697.7,-999,-999,-999,-999,-999,-999,462.7
11/19/2010,20101119,697.7,-999,-999,-999,-999,-999,-999,462.5
11/20/2010,20101120,697.8,-999,-999,-999,-999,-999,-999,462.5
11/21/2010,20101121,697.9,-999,-999,-999,-999,-999,-999,462.5
11/22/2010,20101122,698,-999,-999,-999,-999,-999,-999,462.4
11/23/2010,20101123,698,-999,-999,-999,-999,-999,-999,462.3
11/24/2010,20101124,698.1,-999,-999,-999,-999,-999,-999,462.3
11/25/2010,20101125,698.1,-999,-999,-999,-999,-999,-999,462.2
11/26/2010,20101126,698.2,-999,-999,-999,-999,-999,-999,462.1
11/27/2010,20101127,698.2,-999,-999,-999,-999,-999,-999,462
11/28/2010,20101128,698.2,-999,-999,-999,-999,-999,-999,461.9
11/29/2010,20101129,698.3,-999,-999,-999,-999,-999,-999,461.8
11/30/2010,20101130,698.3,-999,-999,-999,-999,-999,-999,461.7
12/1/2010,20101201,698.3,-999,-999,-999,-999,-999,-999,461.7
12/2/2010,20101202,698.4,-999,-999,-999,-999,-999,-999,461.7
12/3/2010,20101203,698.4,-999,-999,-999,-999,-999,-999,461.7
12/4/2010,20101204,698.4,-999,-999,-999,-999,-999,-999,461.6
12/5/2010,20101205,698.4,-999,-999,-999,-999,-999,-999,461.7
12/6/2010,20101206,698.4,-999,-999,-999,-999,-999,-999,461.7
12/7/2010,20101207,698.5,-999,-999,-999,-999,-999,-999,461.7
12/8/2010,20101208,698.5,-999,-999,-999,-999,-999,-999,461.7
12/9/2010,20101209,698.6,-999,-999,-999,-999,-999,-999,461.7
12/10/2010,20101210,698.7,-999,-999,-999,-999,-999,-999,461.7
12/11/2010,20101211,698.7,-999,-999,-999,-999,-999,-999,461.7
12/12/2010,20101212,698.8,-999,-999,-999,-999,-999,-999,461.7
12/13/2010,20101213,698.8,-999,-999,-999,-999,-999,-999,461.7
12/14/2010,20101214,698.9,-999,-999,-999,-999,-999,-999,461.7
12/15/2010,20101215,698.9,-999,-999,-999,-999,-999,-999,461.7
12/16/2010,20101216,699,-999,-999,-999,-999,-999,-999,461.7
12/17/2010,20101217,699,-999,-999,-999,-999,-999,-999,461.7
12/18/2010,20101218,699.1,-999,-999,-999,-999,-999,-999,461.6
12/19/2010,20101219,700,-999,-999,-999,-999,-999,-999,461.4
12/20/2010,20101220,702.2,-999,-999,-999,-999,-999,-999,461.6
12/21/2010,20101221,702.6,-999,-999,-999,-999,-999,-999,461.6
12/22/2010,20101222,703.1,-999,-999,-999,-999,-999,-999,461.3
