FID,Id,X,Y
0,0,6158697.215579999600000,2039129.340739999900000
1,0,6159900.851950000000000,2038560.603780000000000
2,0,6160215.240150000000000,2038264.626450000100000
3,0,6160382.613029999700000,2037825.167940000100000
4,0,6162414.542689999600000,2036083.666620000000000
5,0,6163902.230390000200000,2034507.287120000000000
6,0,6163905.386199999600000,2033002.899960000100000
7,0,6164494.758969999800000,2031307.092490000000000
8,0,6165281.181499999900000,2029960.319249999900000
9,0,6165851.257489999800000,2029296.526189999900000
10,0,6166130.252009999900000,2026561.342729999900000
11,0,6166490.870609999600000,2025503.103850000100000
12,0,6167303.421210000300000,2024093.306390000000000
13,0,6157779.176319999600000,2039075.919270000000000
14,0,6156675.066510000300000,2037623.143200000000000
15,0,6159522.507600000100000,2038000.864980000100000
16,0,6159734.085070000000000,2039640.874039999900000
17,0,6163010.006389999800000,2040943.836489999900000
18,0,6161161.998689999800000,2036924.355449999900000
19,0,6160761.486340000300000,2038300.028320000000000
20,0,6162694.393799999700000,2036732.806060000100000
21,0,6163056.909070000100000,2038210.099970000100000
22,0,6165497.980290000300000,2037446.762870000000000
23,0,6164389.157979999700000,2035638.928670000100000
24,0,6163613.529299999600000,2035192.354589999900000
25,0,6164769.325709999500000,2034937.417150000100000
26,0,6168852.552349999500000,2040074.773030000000000
27,0,6164798.828379999800000,2038631.247250000000000
28,0,6166576.584959999700000,2036737.965520000100000
29,0,6166988.005239999900000,2033154.822360000100000
30,0,6167892.351950000000000,2035293.440059999900000
31,0,6166982.164939999600000,2031289.086640000100000
32,0,6169151.136140000100000,2032435.290940000000000
33,0,6161551.895109999900000,2035655.696969999900000
34,0,6163049.802520000400000,2034762.967350000000000
35,0,6162937.545920000400000,2033601.948940000000000
36,0,6163226.141640000000000,2032276.585729999900000
37,0,6157641.292759999600000,2026712.042919999900000
38,0,6161922.461450000300000,2027532.080600000000000
39,0,6165254.041539999700000,2028696.901550000100000
40,0,6160783.286510000000000,2030656.279009999900000
41,0,6166805.825819999900000,2028961.410230000000000
42,0,6169539.082209999700000,2030248.685820000000000
43,0,6167634.619690000100000,2026915.876420000100000
44,0,6165024.800680000300000,2026616.099910000100000
45,0,6164865.968039999700000,2024935.858199999900000
46,0,6168196.325810000300000,2023515.359440000000000
47,0,6173038.668420000000000,2026527.972120000000000
48,0,6169506.392400000200000,2021232.100529999900000
49,0,6164234.880680000400000,2019734.305870000000000
50,0,6166324.802100000000000,2023103.624230000000000
51,0,6169019.796230000400000,2019323.146350000100000
52,0,6171415.346570000100000,2018200.232129999900000
53,0,6170142.710450000100000,2015954.403690000100000
54,0,6165826.898579999800000,2013542.654990000000000
55,0,6172876.913560000200000,2013124.389759999900000
56,0,6180328.705269999800000,2002016.949779999900000
57,0,6174267.692529999700000,2000586.823180000100000
58,0,6179256.533280000100000,2007675.381000000100000
59,0,6184210.477479999900000,1996024.038299999900000
60,0,6173503.397629999600000,1995500.167810000000000
61,0,6178013.262199999800000,1986285.557160000100000
62,0,6192382.629479999700000,1996092.139570000100000
63,0,6191020.604150000000000,1989622.519230000000000
64,0,6185844.907879999800000,2001472.139640000000000
65,0,6186321.616740000400000,2006715.937179999900000
66,0,6192900.250919999600000,2005900.250920000000000
67,0,6189689.249180000300000,2007279.251110000100000
68,0,6178285.667270000100000,2010529.608120000000000
69,0,6168955.793730000000000,2007192.646050000100000
70,0,6170204.890739999700000,2011992.562579999900000
71,0,6176583.135599999700000,2016931.127189999900000
72,0,6185231.996480000200000,2022106.823469999900000
73,0,6176100.679490000000000,2031453.066739999900000
74,0,6178479.922179999800000,2026237.034689999900000
75,0,6173080.871469999700000,2037309.664120000100000
76,0,6182493.710389999700000,2042885.465080000000000
77,0,6167590.311420000200000,2049205.877550000100000
78,0,6194311.036969999800000,2021478.549320000000000
79,0,6199252.541009999800000,2027518.165370000100000
80,0,6212246.866449999600000,2021844.586660000000000
81,0,6205292.157060000100000,2010588.938559999900000
82,0,6206481.778409999800000,2005189.887850000100000
83,0,6216181.767819999700000,1998784.234470000000000
84,0,6204377.063720000000000,1994391.786430000100000
85,0,6219688.709669999800000,1988155.483870000100000
86,0,6230289.063419999600000,1980695.088500000100000
87,0,6228718.546590000400000,1949186.175400000100000
88,0,6215541.202480000400000,1969958.794230000100000
89,0,6204794.794669999700000,1984695.893310000000000
90,0,6244458.152049999700000,1926857.897880000100000
91,0,6236487.145580000200000,1940328.488560000000000
92,0,6258930.314109999700000,1941450.552600000100000
93,0,6239106.396340000400000,1959293.603660000000000
94,0,6155533.888670000200000,2045121.916449999900000
95,0,6150671.741700000100000,2037564.129149999900000
96,0,6144941.038929999800000,2049449.208110000000000
97,0,6142915.354410000100000,2065288.031419999900000
98,0,6138677.213790000400000,2040253.908170000000000
99,0,6160027.236250000100000,2033926.281430000000000
