,mean_elev
m01,259.7216
m02,255.2447
m03,246.0544
m04,241.9398
m05,233.4267
m06,229.1757
m07,221.9535
m08,222.3474
m09,221.2151
m10,213.8334
v3,310.5579
v4,304.4028
v6,296.6254
