,sf_avg_cfs,sf_JulyAug_avg_cfs,sf_avg_cfd,sf_JulyAug_avg_cfd
runoff_IndianCk,0.133125,NA,11502,NA
runoff_SanAntonioCkAtIndianCkRd,NA,NA,NA,NA
runoff_ArroyoHondo,44.90360086,1.84081777,3879671.115,159046.6553
runoff_SanAntonioCk,8.173829971,0.144086022,706218.9095,12449.03226
runoff_CalaverasCk,14.35103215,0.265064516,1239929.178,22901.57419
runoff_AlamedaCkAboveACDD,19.67235879,0.520526316,1699691.799,44973.47368
runoff_AlamedaCkBelowACDD,9.735236357,0.311795699,841124.4212,26939.14839
runoff_AlamedaCkBelowCalaverasCk,24.73077553,0.921138488,2136739.006,79586.36534
runoff_AlamedaCkBelowWelchCk,29.7560887,0.749849462,2570926.064,64786.99355
runoff_AlamedaCkNearNiles,137.35294,31.81483871,11867294.01,2748802.065
runoff_AlamedaCkAboveSanAntonioCk,28.88285819,0.001494624,2495478.947,129.1354839
runoff_AlamedaCkAboveArroyoDeLaLaguna,35.93506844,4.00527957,3104789.913,346056.1548
runoff_ArroyoDeLaLaguna,64.54507448,22.79159802,5576694.435,1969194.069
